wav_name	transcription	translation
9_0077.wav	وەڵا کیتی بە غەوز ئەو ژنە لەوێ نان و چای بخۆ و بێتەوە	Come on, Kitty, get that woman over there. Have some bread and tea and come back.
9_0078.wav	کچەکەم و گیر ناکەوێ هیچ	My daughter and I don't want to get caught up in anything.
9_0079.wav	گایەکانیشم دەچن	My cows are going.
9_0080.wav	جووتە گایەکەشم دەست	I've got a pair of cows.
9_0081.wav	چوودوسەد هەتیو و مەتیوی خۆشم فێر کرد کوڕە کوتی پیاوە تێبگەم بۆ ئەوەی گایەکان دەدۆڕێنم	I taught myself, little boy, to understand how to kill cows.
9_0082.wav	لیما لیباس جلوبەرگی سپی دەبەرکەن ئەو خامە سبەی بۆ خۆتان دادەم بچن لەوێ بترسێنن	They're going to wear white robes. I'm going to put that raw shit in there for you to scare off.
9_0083.wav	با ئەوە بزانێ ئەنگۆ مردوون	Let him know they're dead.
9_0084.wav	لە قەبران هاتوونە دەرێ بچم بڵێن نانمان دایە	When they come out of the tombs, they will say, 'We have bread.'
9_0085.wav	جا ژنەش لەوێ ئاوری کردبۆوە کابرا ئاگا ئاوری کردەوە لە تەنیشت ئاوری	So the woman poured out her bowl and put it on the side of the jar.
9_0086.wav	لە تاریکاییدا چاوی چاک نابینێ	In the darkness, the eyes of the righteous cannot see.
9_0087.wav	دوو سێ نەفەر لیباسی مردوویان لە بەر خەڵاتیان لە خۆیان بەستبوو لیباسی سبەیان لە بەر خۆیان کردبوو	Two or three people in dead clothes were hanging from the prize, and they were wearing white clothes in front of them.
9_0088.wav	دەچوون لەوێ لە بن کێلا سەری هەودا دەنا	They were going to go down there to Ben Kella, and he was going to kill him.
9_0089.wav	دانەکوت دانانمان دێ دانانمان دێ دانانمان دێ هەتا ژنە بترسییە	"Don't say, ""We'll get laid, we'll be laid until she's scared""."
9_0090.wav	دی کوژنەشە بە	D is a killer.
9_0091.wav	بە داری لێیان ڕادەستا دەیگوت برۆن برۆن	"He held them up with a stick and said, ""Brown, brown""."
9_0092.wav	هێندەم نان بەشی زیندووان داوە	The bread of the living was given to them in abundance.
9_0093.wav	نۆرەی مردووەکان خۆ من بەشی زیندووان نادەم تا بەشی مردووان بدەم	The judgment of the dead I will not give to the living, but to the dead.
9_0094.wav	وەڵا بەو شێوەی کابرا	Well, that's the way it was.
9_0095.wav	جووتەگایەی دۆڕاند و کچەشی وەچەنگ نەکەوت	He lost his mate and his daughter didn't.
9_0096.wav	ەەەە	That's it.
